['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
73.0 , 4490.76923077 , 4386.66666667 , 4424.61538462 , 3667.17948718 , 4384.1025641 , 4485.12820513 , 4484.1025641 , 4582.56410256 , 3931.28205128 , 4105.64102564 , 4246.66666667 , 4316.41025641 , 3963.07692308 , 3997.43589744 , 1725.0 , 1683.0 , 1.046 , 0.0 , 0.0 , 0.0 , 0.0 , 

74.0 , 4476.92307692 , 4386.66666667 , 4426.15384615 , 3668.71794872 , 4385.12820513 , 4492.30769231 , 4495.38461538 , 4588.71794872 , 3933.33333333 , 4105.64102564 , 4250.25641026 , 4317.43589744 , 3966.15384615 , 3994.87179487 , 1726.0 , 1683.0 , 1.062 , 0.0 , 0.0 , 0.0 , 0.0 , 

75.0 , 4477.43589744 , 4386.66666667 , 4422.05128205 , 3666.15384615 , 4386.66666667 , 4492.82051282 , 4492.30769231 , 4586.15384615 , 3930.76923077 , 4105.64102564 , 4249.23076923 , 4314.35897436 , 3962.05128205 , 3997.94871795 , 1725.0 , 1684.0 , 1.062 , 0.0 , 0.0 , 0.0 , 0.0 , 

76.0 , 4476.41025641 , 4386.66666667 , 4417.43589744 , 3663.07692308 , 4386.15384615 , 4483.07692308 , 4481.53846154 , 4581.53846154 , 3926.15384615 , 4105.64102564 , 4247.69230769 , 4312.82051282 , 3960.0 , 3995.38461538 , 1726.0 , 1683.0 , 1.078 , 0.0 , 0.0 , 0.0 , 0.0 , 

77.0 , 4476.41025641 , 4386.66666667 , 4416.41025641 , 3664.61538462 , 4384.1025641 , 4485.12820513 , 4484.1025641 , 4582.56410256 , 3922.05128205 , 4105.64102564 , 4248.71794872 , 4315.38461538 , 3963.58974359 , 3993.33333333 , 1726.0 , 1683.0 , 1.078 , 0.0 , 0.0 , 0.0 , 0.0 , 

78.0 , 4476.92307692 , 4386.66666667 , 4415.38461538 , 3666.66666667 , 4384.1025641 , 4496.41025641 , 4491.28205128 , 4585.64102564 , 3921.53846154 , 4105.64102564 , 4252.82051282 , 4317.94871795 , 3968.20512821 , 3994.35897436 , 1727.0 , 1683.0 , 1.093 , 0.0 , 0.0 , 0.0 , 0.0 , 

79.0 , 4485.12820513 , 4386.66666667 , 4418.97435897 , 3665.64102564 , 4383.58974359 , 4498.46153846 , 4493.33333333 , 4588.20512821 , 3927.69230769 , 4105.64102564 , 4256.92307692 , 4318.46153846 , 3975.38461538 , 3996.92307692 , 1727.0 , 1681.0 , 1.093 , 0.0 , 0.0 , 0.0 , 0.0 , 

80.0 , 4494.35897436 , 4386.66666667 , 4424.1025641 , 3663.07692308 , 4383.07692308 , 4496.92307692 , 4494.87179487 , 4589.23076923 , 3932.82051282 , 4105.64102564 , 4256.41025641 , 4317.43589744 , 3977.43589744 , 3998.46153846 , 1728.0 , 1682.0 , 1.109 , 0.0 , 0.0 , 0.0 , 0.0 , 

81.0 , 4486.15384615 , 4386.66666667 , 4430.25641026 , 3666.66666667 , 4382.05128205 , 4503.58974359 , 4495.8974359 , 4588.20512821 , 3930.25641026 , 4105.64102564 , 4253.84615385 , 4317.94871795 , 3972.82051282 , 4002.56410256 , 1728.0 , 1679.0 , 1.109 , 0.0 , 0.0 , 0.0 , 0.0 , 

82.0 , 4482.56410256 , 4386.66666667 , 4436.41025641 , 3671.28205128 , 4382.05128205 , 4505.12820513 , 4498.46153846 , 4587.17948718 , 3924.61538462 , 4105.64102564 , 4252.82051282 , 4316.41025641 , 3974.35897436 , 4006.66666667 , 1727.0 , 1681.0 , 1.125 , 0.0 , 0.0 , 0.0 , 0.0 , 

83.0 , 4499.48717949 , 4386.15384615 , 4435.38461538 , 3673.84615385 , 4382.05128205 , 4506.15384615 , 4502.56410256 , 4589.23076923 , 3926.15384615 , 4105.64102564 , 4251.79487179 , 4311.28205128 , 3977.94871795 , 4006.15384615 , 1728.0 , 1680.0 , 1.125 , 0.0 , 0.0 , 0.0 , 0.0 , 

84.0 , 4507.17948718 , 4386.66666667 , 4430.76923077 , 3670.76923077 , 4383.07692308 , 4510.25641026 , 4502.56410256 , 4593.33333333 , 3933.33333333 , 4105.64102564 , 4255.38461538 , 4309.23076923 , 3977.94871795 , 4004.1025641 , 1727.0 , 1680.0 , 1.14 , 0.0 , 0.0 , 0.0 , 0.0 , 

85.0 , 4488.71794872 , 4387.69230769 , 4429.23076923 , 3667.17948718 , 4383.07692308 , 4505.12820513 , 4496.92307692 , 4589.23076923 , 3932.30769231 , 4105.64102564 , 4256.92307692 , 4309.23076923 , 3972.82051282 , 4002.56410256 , 1728.0 , 1679.0 , 1.156 , 0.0 , 0.0 , 0.0 , 0.0 , 

86.0 , 4466.66666667 , 4388.20512821 , 4431.79487179 , 3667.69230769 , 4383.58974359 , 4495.8974359 , 4494.87179487 , 4583.58974359 , 3926.15384615 , 4105.64102564 , 4252.82051282 , 4310.76923077 , 3966.66666667 , 4001.53846154 , 1727.0 , 1679.0 , 1.156 , 0.0 , 0.0 , 0.0 , 0.0 , 

87.0 , 4475.38461538 , 4388.20512821 , 4435.38461538 , 3674.87179487 , 4383.58974359 , 4503.58974359 , 4504.1025641 , 4591.28205128 , 3931.28205128 , 4105.64102564 , 4252.82051282 , 4313.84615385 , 3975.8974359 , 4008.20512821 , 1727.0 , 1678.0 , 1.156 , 0.0 , 0.0 , 0.0 , 0.0 , 

88.0 , 4500.51282051 , 4388.20512821 , 4432.82051282 , 3676.41025641 , 4382.56410256 , 4505.64102564 , 4503.58974359 , 4594.35897436 , 3937.43589744 , 4105.64102564 , 4255.8974359 , 4313.33333333 , 3987.69230769 , 4014.87179487 , 1725.0 , 1679.0 , 1.171 , 0.0 , 0.0 , 0.0 , 0.0 , 

89.0 , 4504.1025641 , 4388.20512821 , 4429.23076923 , 3672.82051282 , 4383.07692308 , 4497.43589744 , 4497.43589744 , 4588.71794872 , 3939.48717949 , 4105.64102564 , 4252.82051282 , 4312.82051282 , 3979.48717949 , 4009.74358974 , 1725.0 , 1678.0 , 1.171 , 0.0 , 0.0 , 0.0 , 0.0 , 

90.0 , 4495.8974359 , 4388.20512821 , 4431.28205128 , 3674.87179487 , 4384.61538462 , 4498.46153846 , 4501.53846154 , 4590.76923077 , 3938.46153846 , 4105.64102564 , 4250.25641026 , 4313.84615385 , 3969.74358974 , 4001.53846154 , 1725.0 , 1678.0 , 1.187 , 0.0 , 0.0 , 0.0 , 0.0 , 

91.0 , 4497.43589744 , 4388.20512821 , 4433.33333333 , 3673.84615385 , 4387.69230769 , 4502.56410256 , 4505.12820513 , 4594.35897436 , 3932.82051282 , 4105.64102564 , 4252.82051282 , 4312.30769231 , 3978.97435897 , 4008.71794872 , 1724.0 , 1679.0 , 1.187 , 0.0 , 0.0 , 0.0 , 0.0 , 

92.0 , 4497.94871795 , 4388.20512821 , 4430.25641026 , 3667.17948718 , 4389.23076923 , 4502.05128205 , 4500.0 , 4591.79487179 , 3932.30769231 , 4105.64102564 , 4252.82051282 , 4312.30769231 , 3986.15384615 , 4020.51282051 , 1725.0 , 1678.0 , 1.203 , 0.0 , 0.0 , 0.0 , 0.0 , 

93.0 , 4494.87179487 , 4388.20512821 , 4431.79487179 , 3667.17948718 , 4386.15384615 , 4502.05128205 , 4497.94871795 , 4592.82051282 , 3941.02564103 , 4105.64102564 , 4252.82051282 , 4315.38461538 , 3986.15384615 , 4017.94871795 , 1724.0 , 1679.0 , 1.203 , 0.0 , 0.0 , 0.0 , 0.0 , 

