['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
3.0 , 4189.23076923 , 4206.66666667 , 4197.94871795 , 4185.12820513 , 4194.35897436 , 4202.56410256 , 4205.12820513 , 4205.64102564 , 4196.92307692 , 4183.07692308 , 4193.33333333 , 4230.76923077 , 4191.28205128 , 4212.30769231 , 1757.0 , 1669.0 , 3.962 , 0.0 , 0.0 , 0.0 , 0.0 , 

4.0 , 4193.33333333 , 4200.51282051 , 4210.76923077 , 4206.15384615 , 4201.02564103 , 4207.17948718 , 4204.61538462 , 4203.07692308 , 4200.0 , 4200.51282051 , 4201.53846154 , 4204.1025641 , 4199.48717949 , 4199.48717949 , 1758.0 , 1675.0 , 3.97 , 0.0 , 0.0 , 0.0 , 0.0 , 

5.0 , 4206.15384615 , 4231.28205128 , 4166.15384615 , 4197.94871795 , 4213.33333333 , 4221.53846154 , 4188.20512821 , 4188.71794872 , 4202.05128205 , 4195.38461538 , 4193.84615385 , 4165.64102564 , 4203.58974359 , 4201.53846154 , 1760.0 , 1676.0 , 3.978 , 0.0 , 0.0 , 0.0 , 0.0 , 

6.0 , 4165.64102564 , 4166.15384615 , 4232.82051282 , 4176.92307692 , 4174.35897436 , 4171.28205128 , 4222.56410256 , 4225.12820513 , 4192.82051282 , 4173.84615385 , 4193.84615385 , 4303.07692308 , 4177.43589744 , 4225.12820513 , 1768.0 , 1675.0 , 3.986 , 0.0 , 0.0 , 0.0 , 0.0 , 

7.0 , 4221.02564103 , 4104.1025641 , 4313.33333333 , 4308.71794872 , 4212.30769231 , 4170.76923077 , 4212.30769231 , 4201.02564103 , 4215.38461538 , 4302.56410256 , 4253.84615385 , 4116.92307692 , 4240.0 , 4133.84615385 , 1778.0 , 1668.0 , 3.993 , 0.0 , 0.0 , 0.0 , 0.0 , 

8.0 , 4348.71794872 , 3982.56410256 , 4346.15384615 , 4497.94871795 , 4277.43589744 , 4097.43589744 , 4158.46153846 , 4140.51282051 , 4266.15384615 , 4519.48717949 , 4349.23076923 , 3778.97435897 , 4358.97435897 , 4001.02564103 , 1777.0 , 1661.0 , 4.0 , 0.0 , 0.0 , 0.0 , 0.0 , 

