['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
3.0 , 4191.79487179 , 4227.17948718 , 4258.46153846 , 4236.92307692 , 4229.23076923 , 4271.79487179 , 4221.02564103 , 4211.28205128 , 4084.61538462 , 4193.33333333 , 4108.71794872 , 4159.48717949 , 4098.46153846 , 4212.30769231 , 1680.0 , 1744.0 , 21.605 , 0.0 , 0.0 , 0.0 , 0.0 , 

4.0 , 4333.33333333 , 4114.35897436 , 3999.48717949 , 4058.46153846 , 4029.23076923 , 3931.79487179 , 4002.05128205 , 4273.33333333 , 4432.30769231 , 4221.02564103 , 4467.17948718 , 4478.97435897 , 4481.02564103 , 4411.79487179 , 1680.0 , 1744.0 , 21.613 , 0.0 , 0.0 , 0.0 , 0.0 , 

5.0 , 4035.38461538 , 4227.17948718 , 4410.25641026 , 4316.41025641 , 4393.33333333 , 4454.87179487 , 4406.15384615 , 4082.56410256 , 4147.69230769 , 4183.07692308 , 4016.92307692 , 3860.0 , 4045.12820513 , 3834.35897436 , 1680.0 , 1744.0 , 21.621 , 0.0 , 0.0 , 0.0 , 0.0 , 

6.0 , 4184.61538462 , 4353.33333333 , 4367.17948718 , 4349.23076923 , 4281.02564103 , 4436.92307692 , 4290.25641026 , 4264.1025641 , 3697.43589744 , 4168.20512821 , 3843.07692308 , 4128.20512821 , 3789.74358974 , 4352.82051282 , 1680.0 , 1745.0 , 21.628 , 0.0 , 0.0 , 0.0 , 0.0 , 

7.0 , 5043.07692308 , 3692.30769231 , 2784.1025641 , 3278.46153846 , 3076.41025641 , 2364.61538462 , 2994.87179487 , 4649.74358974 , 5807.69230769 , 4303.58974359 , 6035.8974359 , 5982.05128205 , 6090.76923077 , 5530.76923077 , 1680.0 , 1744.0 , 21.636 , 0.0 , 0.0 , 0.0 , 0.0 , 

8.0 , 4268.71794872 , 3873.84615385 , 3392.82051282 , 3741.53846154 , 3854.87179487 , 3194.87179487 , 4037.43589744 , 4063.58974359 , 5986.15384615 , 4195.38461538 , 5591.28205128 , 4665.12820513 , 5763.58974359 , 3840.51282051 , 1679.0 , 1745.0 , 21.644 , 0.0 , 0.0 , 0.0 , 0.0 , 

9.0 , 3631.28205128 , 4709.74358974 , 4515.8974359 , 4724.1025641 , 4762.56410256 , 4892.30769231 , 5203.07692308 , 3802.05128205 , 3686.66666667 , 4145.12820513 , 3539.48717949 , 3401.02564103 , 3438.97435897 , 3429.74358974 , 1681.0 , 1744.0 , 21.652 , 0.0 , 0.0 , 0.0 , 0.0 , 

10.0 , 4336.92307692 , 4347.69230769 , 3592.30769231 , 4065.12820513 , 3933.33333333 , 3715.8974359 , 4210.76923077 , 4172.30769231 , 4297.43589744 , 4305.12820513 , 4536.92307692 , 4618.46153846 , 4301.53846154 , 4662.56410256 , 1679.0 , 1744.0 , 21.66 , 0.0 , 0.0 , 0.0 , 0.0 , 

