Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL	CMS_Q	DRL_Q	AF3_Q	F7_Q	F3_Q	FC5_Q	T7_Q	P7_Q	O1_Q	O2_Q	P8_Q	T8_Q	FC6_Q	F4_Q	F8_Q	AF4_Q
111.000000	4360.000000	4385.641026	4409.230769	3714.358974	4381.538462	4612.307692	4628.717949	4527.179487	4022.051282	4103.589744	4517.948718	4442.564103	4269.743590	3960.512821	1735.000000	1676.000000	120.805000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112.000000	4359.487179	4385.128205	4407.179487	3715.897436	4382.051282	4613.846154	4628.205128	4524.615385	4028.717949	4100.000000	4518.974359	4442.564103	4266.666667	3961.025641	1734.000000	1678.000000	120.820000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113.000000	4357.435897	4385.641026	4406.666667	3715.384615	4382.564103	4613.846154	4633.846154	4525.128205	4032.307692	4099.487179	4517.435897	4440.512821	4265.641026	3960.000000	1736.000000	1677.000000	120.820000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114.000000	4361.538462	4387.179487	4407.692308	3713.333333	4383.589744	4610.769231	4631.794872	4525.128205	4026.666667	4104.102564	4517.435897	4440.000000	4267.692308	3960.000000	1734.000000	1677.000000	120.841000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115.000000	4360.512821	4388.205128	4405.641026	3713.846154	4385.128205	4609.230769	4627.179487	4523.076923	4021.538462	4105.128205	4517.948718	4441.538462	4268.717949	3958.461538	1736.000000	1678.000000	120.841000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116.000000	4356.410256	4387.179487	4405.641026	3716.410256	4382.564103	4610.769231	4630.256410	4521.538462	4024.102564	4101.025641	4517.948718	4442.051282	4268.717949	3958.974359	1735.000000	1677.000000	120.856000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117.000000	4357.435897	4386.153846	4408.717949	3714.871795	4380.512821	4612.820513	4632.820513	4522.564103	4027.179487	4100.512821	4517.435897	4442.564103	4269.230769	3958.974359	1735.000000	1678.000000	120.856000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118.000000	4360.000000	4387.692308	4410.769231	3711.794872	4382.564103	4610.769231	4630.769231	4523.076923	4026.153846	4102.051282	4517.948718	4442.051282	4270.769231	3960.512821	1735.000000	1677.000000	120.872000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119.000000	4360.000000	4388.717949	4410.256410	3712.820513	4383.076923	4612.307692	4631.794872	4524.615385	4024.102564	4101.025641	4519.487179	4442.564103	4270.769231	3961.025641	1735.000000	1678.000000	120.872000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120.000000	4359.487179	4388.717949	4408.205128	3715.384615	4381.025641	4614.358974	4632.820513	4524.102564	4021.538462	4101.025641	4521.025641	4443.076923	4268.717949	3962.564103	1735.000000	1677.000000	120.888000	0.000000	0.000000	0.000000	0.000000	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
