Counter	AF3	F7	F3	FC5	T7	P7	O1	O2	P8	T8	FC6	F4	F8	AF4	GyroX	GyroY	Timestamp	FUNC_ID	FUNC_VALUE	MARKER	SYNC_SIGNAL
37.000000	4360.512821	4402.564103	4403.076923	3712.307692	4384.102564	4611.794872	4626.666667	4520.512821	4024.102564	4098.974359	4515.897436	4440.000000	4249.230769	3953.846154	1741.000000	1677.000000	17.338000	0.000000	0.000000	0.000000	0.000000
38.000000	4361.538462	4404.102564	4403.589744	3711.794872	4384.615385	4611.794872	4630.256410	4527.179487	4024.615385	4098.974359	4516.410256	4441.538462	4249.230769	3953.333333	1742.000000	1676.000000	17.338000	0.000000	0.000000	0.000000	0.000000
39.000000	4361.538462	4405.128205	4403.076923	3712.307692	4384.615385	4613.846154	4635.384615	4529.230769	4026.666667	4098.974359	4514.871795	4440.000000	4249.230769	3953.333333	1741.000000	1677.000000	17.354000	0.000000	0.000000	0.000000	0.000000
40.000000	4362.051282	4404.615385	4403.076923	3714.871795	4386.153846	4613.333333	4633.846154	4525.641026	4025.641026	4098.974359	4518.974359	4441.025641	4249.230769	3950.256410	1741.000000	1676.000000	17.354000	0.000000	0.000000	0.000000	0.000000
41.000000	4363.076923	4403.076923	4403.589744	3712.820513	4385.641026	4614.871795	4630.256410	4525.128205	4025.128205	4098.974359	4521.025641	4442.051282	4249.230769	3950.256410	1739.000000	1677.000000	17.370000	0.000000	0.000000	0.000000	0.000000
42.000000	4362.051282	4405.641026	4403.076923	3710.769231	4384.615385	4616.410256	4630.769231	4524.615385	4025.641026	4098.974359	4513.846154	4440.512821	4249.230769	3954.871795	1741.000000	1677.000000	17.370000	0.000000	0.000000	0.000000	0.000000
43.000000	4360.512821	4410.769231	4405.128205	3715.384615	4385.128205	4610.769231	4630.256410	4523.589744	4025.128205	4098.974359	4511.794872	4438.461538	4248.717949	3957.435897	1740.000000	1677.000000	17.385000	0.000000	0.000000	0.000000	0.000000
44.000000	4361.538462	4409.743590	4406.666667	3715.897436	4384.615385	4607.179487	4627.179487	4522.564103	4025.128205	4098.974359	4515.897436	4441.538462	4248.205128	3952.307692	1740.000000	1677.000000	17.385000	0.000000	0.000000	0.000000	0.000000
45.000000	4362.564103	4407.179487	4404.102564	3710.769231	4384.102564	4609.743590	4629.230769	4523.076923	4026.666667	4098.974359	4512.307692	4444.102564	4248.205128	3948.717949	1741.000000	1675.000000	17.401000	0.000000	0.000000	0.000000	0.000000
46.000000	4362.051282	4411.282051	4403.076923	3712.820513	4384.615385	4610.769231	4631.794872	4524.102564	4025.641026	4098.974359	4513.846154	4441.025641	4247.692308	3950.256410	1740.000000	1676.000000	17.401000	0.000000	0.000000	0.000000	0.000000
47.000000	4361.025641	4410.256410	4404.615385	3717.435897	4385.128205	4610.256410	4629.743590	4524.102564	4024.102564	4098.974359	4522.051282	4439.487179	4248.717949	3953.333333	1741.000000	1675.000000	17.416000	0.000000	0.000000	0.000000	0.000000
48.000000	4362.051282	4406.153846	4406.153846	3714.358974	4383.589744	4612.307692	4627.179487	4525.641026	4024.102564	4098.974359	4519.487179	4440.000000	4250.256410	3954.358974	1741.000000	1675.000000	17.416000	0.000000	0.000000	0.000000	0.000000
